code_type,code,lat,lon
IATA,AGJ,26.5925006866,127.240997314
IATA,AGN,57.503601,-134.585007
IATA,AGP,36.67490005493164,-4.499110221862793
IATA,AGQ,38.602001,21.3512001
IATA,AGR,27.155799865722656,77.96089935302734
IATA,AGS,33.36989974975586,-81.9645004272461
IATA,AGT,-25.454516,-54.842682
IATA,AGU,21.705601,-102.318001
IATA,AGV,9.553375244140625,-69.23786926269531
IATA,AGX,10.823699951171875,72.1760025024414
IATA,AGZ,-29.28179931640625,18.813899993896484
IATA,AHB,18.240400314299997,42.65660095210001
IATA,AHE,-14.428099632263184,-146.2570037841797
IATA,AHJ,32.53154,102.35224
IATA,AHN,33.94860076904297,-83.32630157470703
IATA,AHO,40.632099,8.29077
IATA,AHS,15.4722,-84.352203
IATA,AHU,35.177101135253906,-3.83951997756958
IATA,AIA,42.0531997681,-102.804000854
IATA,AID,40.10860061649999,-85.6129989624
IATA,AIK,33.649399,-81.684998
IATA,AIN,70.6380004883,-159.994995117
IATA,AIP,31.4338,75.758797
IATA,AIR,-10.188278,-59.457273
IATA,AIS,-2.61611008644104,176.80299377441406
IATA,AIT,-18.830900192260742,-159.76400756835938
IATA,AIU,-19.96780014038086,-158.11900329589844
IATA,AIZ,38.0960006714,-92.54949951170002
IATA,AJA,41.92359924316406,8.8029203414917
IATA,AJF,29.78510093688965,40.099998474121094
IATA,AJI,39.654541015625,43.025978088378906
IATA,AJK,34.138099670410156,49.8473014831543
IATA,AJL,23.840599060099997,92.6196975708
IATA,AJN,-12.131699562072754,44.430301666259766
IATA,AJR,65.59030151367188,19.28190040588379
IATA,AJU,-10.984000206,-37.0703010559
IATA,AJY,16.965999603271484,8.000109672546387
IATA,AKA,32.708099,108.931
IATA,AKB,52.22029877,-174.2059937
IATA,AKC,41.0374984741,-81.4669036865
IATA,AKD,20.698999,77.058601
IATA,AKF,24.178699493408203,23.31399917602539
IATA,AKH,24.062700271606445,47.580501556396484
IATA,AKI,60.9029006958,-161.231002808
IATA,AKJ,43.670799255371094,142.44700622558594
IATA,AKK,56.9387016296,-154.182998657
IATA,AKL,-37.008098602299995,174.792007446
IATA,AKN,58.67679977,-156.6490021
IATA,AKO,40.1755981445,-103.222000122
IATA,AKP,68.13359833,-151.7429962
IATA,AKR,7.246739864349365,5.3010101318359375
IATA,AKS,-8.70257,160.682007
IATA,AKT,34.590401,32.9879
IATA,AKU,41.262501,80.291702
IATA,AKV,60.818599700927734,-78.14859771728516
IATA,AKW,30.7444,49.6772
IATA,AKX,50.2458,57.206699
IATA,AKY,20.132699966430664,92.87259674072266
IATA,ALA,43.35210037231445,77.04049682617188
IATA,ALB,42.74829864501953,-73.80169677734375
IATA,ALC,38.28219985961914,-0.5581560134887695
IATA,ALE,30.384199142499998,-103.683998108
IATA,ALF,69.976097106934,23.371700286865
IATA,ALG,36.691001892089844,3.215409994125366
IATA,ALH,-34.94329833984375,117.80899810791016
IATA,ALI,27.740900039699998,-98.02690124510002
IATA,ALJ,-28.575001,16.5333
IATA,ALL,44.050598,8.12743
IATA,ALM,32.8399009705,-105.990997314
IATA,ALN,38.89030075069999,-90.0459976196
IATA,ALO,42.557098388671875,-92.40029907226562
IATA,ALP,36.18069839477539,37.22439956665039
IATA,ALR,-45.211700439453125,169.3730010986328
IATA,ALS,37.434898,-105.866997
IATA,ALU,11.9582,50.748
IATA,ALW,46.09489822,-118.288002
IATA,ALX,32.914699554399995,-85.9629974365
IATA,ALY,31.183900833129883,29.94890022277832
IATA,AMA,35.219398,-101.706001
IATA,AMB,-13.188400268554688,48.987998962402344
IATA,AMC,11.0340003967,20.274000167799997
IATA,AMD,23.0771999359,72.63469696039999
IATA,AMH,6.0393900871276855,37.59049987792969
IATA,AMI,-8.560709953309999,116.095001221
IATA,AMM,31.7226009369,35.9931983948
IATA,AMN,43.322101593,-84.68800354
IATA,AMQ,-3.7102599144,128.089004517
IATA,AMS,52.308601,4.76389
IATA,AMT,-26.108299255371094,131.20700073242188
IATA,AMV,69.76329803466797,61.556400299072266
IATA,AMZ,-37.029701232910156,174.97300720214844
IATA,ANB,33.5882,-85.8581
IATA,ANC,61.174400329589844,-149.99600219726562
IATA,AND,34.4945983887,-82.70939636230001
IATA,ANE,47.560299,-0.312222
IATA,ANF,-23.444501,-70.445099
IATA,ANG,45.72919845581055,0.22145600616931915
IATA,ANI,61.581600189208984,-159.54299926757812
IATA,ANK,39.949798584,32.6885986328
IATA,ANM,-14.99940013885498,50.3202018737793
IATA,ANN,55.04240036010742,-131.57200622558594
IATA,ANP,38.942902,-76.568398
IATA,ANQ,41.639702,-85.083504
IATA,ANR,51.1893997192,4.46027994156
IATA,ANS,-13.706399917602539,-73.35040283203125
IATA,ANU,17.1367,-61.792702
IATA,ANV,62.646702,-160.190994
IATA,ANX,69.292503356934,16.144199371338
IATA,AOC,50.981945,12.506389
IATA,AOE,39.809898,30.5194
IATA,AOG,41.105301,122.853996
IATA,AOH,40.706902,-84.026703
IATA,AOI,43.616299,13.3623
IATA,AOJ,40.73469924926758,140.6909942626953
IATA,AOK,35.4213981628418,27.145999908447266
IATA,AOL,-29.6894,-57.1521
IATA,AOO,40.29639816,-78.31999969
IATA,AOP,-2.79612994194,-76.46659851070001
IATA,AOR,6.189670085906982,100.39800262451172
IATA,AOT,45.738499,7.36872
IATA,AOU,14.814715357,106.821699142
IATA,APA,39.57009888,-104.848999
IATA,APC,38.2132,-122.280998
IATA,APF,26.1525993347,-81.7752990723
IATA,APG,39.466202,-76.1688
IATA,API,4.07607,-73.5627
IATA,APK,-15.5736,-146.414993
IATA,APL,-15.105600357055664,39.28179931640625
IATA,APN,45.0780983,-83.56030273
IATA,APO,7.81196,-76.7164
IATA,APQ,-9.775360107421875,-36.62919998168945
IATA,APT,35.060699,-85.585297
IATA,APW,-13.829999923706055,-172.00799560546875
IATA,APZ,-38.975498,-70.113602
IATA,AQA,-21.812000274699997,-48.1329994202
IATA,AQB,15.012200355529785,-91.15059661865234
IATA,AQG,30.582199,117.050003
IATA,AQI,28.335199,46.125099
IATA,AQJ,29.611600875854492,35.01810073852539
IATA,AQP,-16.3411006927,-71.5830993652
IATA,ARA,30.0378,-91.883904
IATA,ARB,42.2229995728,-83.74559783939999
IATA,ARC,68.1147,-145.578995
IATA,ARD,-8.132340431213379,124.59700012207031
IATA,ARE,18.4500007629,-66.6753005981
IATA,ARH,64.60030364990234,40.71670150756836
IATA,ARI,-18.348499,-70.338699
IATA,ARK,-3.3677899837493896,36.63330078125
IATA,ARM,-30.528099060099997,151.617004395
IATA,ARN,59.651901245117,17.918600082397
IATA,ARR,-45.013599,-70.812202
IATA,ART,43.99190139770508,-76.02169799804688
IATA,ARU,-21.1413002014,-50.4247016907
IATA,ARV,45.92789841,-89.73090363
IATA,ARW,46.17660140991211,21.261999130249023
IATA,ARY,-37.30939865112305,142.98899841308594
